CountryName	CountryCode	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]
Chad	TCD	39.33449809	39.29479034	39.17646125	39.17646125	39.17963787	39.33846887	39.65613088	39.65613088	39.65613088	..	..
Channel Islands	CHI	39.17525773	43.29896907	42.26804124	41.75257732	45.36082474	47.89473684	50.52631579	50	49.57894737	..	..
Chile	CHL	21.36424525	21.24992603	21.16385038	21.21764766	21.23109698	21.1732649	21.19532179	21.26200352	21.22437232	..	..
China	CHN	55.11518179	54.76367948	54.81001769	54.80799387	54.80841877	54.80809922	54.80841877	54.80841877	54.80841877	..	..
Colombia	COL	38.35691753	38.01171699	38.2478594	38.40829202	38.34159531	38.30824696	37.60342497	38.41153673	40.39260928	..	..
Comoros	COM	71.46695325	71.46695325	71.46695325	71.46695325	71.46695325	71.46695325	71.46695325	71.46695325	71.46695325	..	..
"Congo, Dem. Rep."	ZAR	11.27015284	11.28603251	11.31426303	11.33631812	11.35616771	11.36498974	11.48629276	11.55686906	11.55686906	..	..
"Congo, Rep."	COG	30.88433382	30.89311859	30.89311859	30.89311859	30.93118594	30.96925329	31.02781845	31.04538799	31.11859444	..	..
Costa Rica	CRI	35.35056796	35.54641598	35.25264395	35.11555033	35.56600078	35.62475519	35.62475519	35.48766157	35.58558559	..	..
Cote d'Ivoire	CIV	63.52201258	63.83647799	64.77987421	64.77987421	64.77987421	64.77987421	64.77987421	64.77987421	64.77987421	..	..
Croatia	HRV	21.64045747	21.9799857	21.47962831	23.03609721	23.22373124	23.83488206	23.69728377	23.78484632	23.26483202	..	..
Cuba	CUB	62.35437805	62.29446585	62.19466366	61.69673055	61.19879744	60.69992484	60.20199173	60.17529521	59.58064425	..	..
Cyprus	CYP	18.07359307	16.99134199	15.93073593	12.51082251	13.80952381	12.33766234	12.58658009	12.5974026	11.7965368	..	..
Czech Republic	CZE	55.1384934	55.06796117	55.00323625	54.93851133	54.87378641	54.81615743	54.75142413	54.70672019	54.62903017	..	..
Denmark	DNK	63.79919868	63.86990337	62.76219656	62.88003771	62.07871789	61.89017205	63.39853877	61.84303559	61.48951214	..	..
Djibouti	DJI	73.38222606	73.39516825	73.40379638	73.39085418	73.39516825	73.40811044	73.4253667	73.4253667	73.4253667	..	..
Dominica	DMA	29.33333333	29.33333333	29.33333333	29.33333333	30.66666667	33.33333333	33.33333333	33.33333333	33.33333333	..	..
Dominican Republic	DOM	50.02069536	50.02069536	50.02069536	49.60678808	49.60678808	49.60678808	49.60678808	48.67549669	48.67549669	..	..
Early-demographic dividend	EAR	40.94482909	41.04845924	41.21314184	41.20609536	41.26607381	41.38099987	41.44039242	41.52557524	41.56516808	..	..
East Asia & Pacific	EAS	49.98435696	49.46466241	49.18954543	48.93798098	48.7026875	48.30840718	48.80833881	48.67743812	48.34593542	..	..
East Asia & Pacific (excluding high income)	EAP	47.40177116	47.2725546	47.44260612	47.58091449	47.73554823	47.79662666	47.87189087	47.94512835	48.00274175	..	..
East Asia & Pacific (IDA & IBRD countries)	TEA	47.59878599	47.46858145	47.63994341	47.7761446	47.93068648	47.99159859	48.07060295	48.14440139	48.20245558	..	..
Ecuador	ECU	30.19809953	29.97262039	29.84377517	29.9766468	30.33660815	30.18883878	29.57843453	30.22588178	30.25446932	..	..
"Egypt, Arab Rep."	EGY	3.539102918	3.549148626	3.55417148	3.558189763	3.705861671	3.687779396	3.636546286	3.712893666	3.778190768	..	..
El Salvador	SLV	75.53088803	71.13899614	72.58687259	74.80694981	74.56563707	74.08301158	74.46911197	75.86872587	76.35135135	..	..
Equatorial Guinea	GNQ	11.55080214	11.1942959	11.1942959	11.01604278	10.48128342	10.48128342	10.12477718	10.12477718	10.12477718	..	..
Eritrea	ERI	74.47524752	74.97029703	74.97029703	74.97029703	75.16831683	75.16831683	75.16831683	75.16831683	75.16831683	..	..
Estonia	EST	20.80679406	21.20783204	21.56168908	21.39655579	21.96272706	22.38735551	22.29299363	22.55248879	22.78839349	..	..
Ethiopia	ETH	33.591	34.219	35.077	34.513	34.985	35.683	36.3252	36.488	36.259	..	..
Euro area	EMU	46.32074055	45.78158281	45.40316761	45.44918918	45.15214726	45.11884694	44.7194375	44.60546633	44.54255499	..	..
Europe & Central Asia	ECS	29.65711878	29.67748967	29.5340989	29.49497211	29.42446646	29.56077148	29.50957066	29.48474613	29.55668647	..	..
Europe & Central Asia (excluding high income)	ECA	28.05842732	28.11741699	28.02425354	27.96262926	27.9314285	28.17481411	28.14746992	28.14122291	28.24071539	..	..
Europe & Central Asia (IDA & IBRD countries)	TEC	28.36228122	28.42211329	28.30783029	28.25688414	28.22744024	28.41755027	28.40472612	28.38792316	28.47941299	..	..
European Union	EUU	45.65773821	45.46516894	44.92782537	45.00036094	44.69020068	44.40385048	44.1882361	44.02484319	43.97196737	..	..
Faroe Islands	FRO	2.148997135	2.148997135	2.148997135	2.148997135	2.148997135	2.148997135	2.148997135	2.148997135	2.148997135	..	..
Fiji	FJI	23.42638205	23.42638205	23.37164751	23.42638205	23.40448823	23.26217843	23.26217843	23.26217843	23.26217843	..	..
Finland	FIN	7.465117043	7.56568347	7.546778914	7.556433037	7.556762093	7.541625535	7.524433183	7.519497186	7.431965514	..	..
Fragile and conflict affected situations	FCS	34.80998074	34.89943747	34.98821114	34.99071394	35.01348514	35.06958459	33.32731475	33.60610316	33.38351663	..	..
France	FRA	53.98771998	53.6812673	53.47014735	53.09766837	52.99886587	52.7660134	52.74060965	52.68196603	52.54923232	..	..
French Polynesia	PYF	12.29508197	12.29508197	12.29508197	12.29508197	12.15846995	12.15846995	12.43169399	12.43169399	12.43169399	..	..
Gabon	GAB	20.02561416	20.02561416	20.02561416	20.02561416	20.02561416	20.02561416	20.02561416	20.02561416	20.02561416	..	..
"Gambia, The"	GMB	52.07509881	48.91304348	48.91304348	54.54545455	59.58498024	60.77075099	60.77075099	59.7826087	59.7826087	..	..
Georgia	GEO	36.26421068	36.23542956	36.221039	36.17786732	36.19225788	35.68858829	35.50726723	35.47272989	36.71607426	..	..
Germany	DEU	48.83300837	48.59486121	48.61330198	48.53569687	48.43808267	47.91003242	47.96591692	47.81086819	47.90554886	..	..
Ghana	GHA	66.36195834	67.24092467	67.68040784	68.55937418	68.55937418	68.64727081	69.08675398	68.99885734	68.99885734	..	..
Greece	GRC	64.81768813	64.17377812	64.01086113	63.72381691	63.50659426	63.56865787	63.46004655	63.19627618	63.12645462	..	..
Greenland	GRL	0.574735047	0.574735047	0.574735047	0.574735047	0.574735047	0.574735047	0.574735047	0.574735047	0.574735047	..	..
Grenada	GRD	29.41176471	29.41176471	29.41176471	29.41176471	32.35294118	32.35294118	32.35294118	32.35294118	32.35294118	..	..
Guam	GUM	37.03703704	37.03703704	35.18518519	35.18518519	33.33333333	33.33333333	33.33333333	33.33333333	33.33333333	..	..
Guatemala	GTM	42.57185517	40.12691303	41.19074281	38.61515491	37.73366928	36.97349757	36.30664427	35.54647256	34.72097798	..	..
Guinea	GIN	57.46784958	57.50447664	57.70796028	57.95214065	57.99283738	58.19632102	58.19632102	58.6032883	59.01025558	..	..
Guinea-Bissau	GNB	57.25462304	57.25462304	57.25462304	57.25462304	57.25462304	57.9658606	57.9658606	57.9658606	57.9658606	..	..
Guyana	GUY	8.524257049	8.524257049	8.524257049	8.524257049	8.524257049	8.524257049	8.524257049	8.524257049	8.524257049	..	..
Haiti	HTI	60.59506531	60.59506531	66.03773585	64.22351234	65.17888244	67.85195936	66.40058055	64.22351234	66.76342525	..	..
Heavily indebted poor countries (HIPC)	HPC	39.76197415	39.84912995	40.01335235	40.25182369	40.36821889	40.49692701	39.25755865	39.63212155	39.43145488	..	..
High income	HIC	37.91566536	37.46784355	37.2266209	37.00899092	36.62182548	36.19332351	36.36103454	36.40710847	36.04810336	..	..
Honduras	HND	28.15264992	28.24202342	28.24202342	28.4565198	28.58164268	28.86763786	28.86763786	28.9123246	28.9123246	..	..
"Hong Kong SAR, China"	HKG	6.666666667	5.714285714	5.714285714	5.714285714	5.714285714	5.238095238	5.238095238	4.857142857	4.857142857	..	..
Hungary	HUN	65.42796563	64.82535431	64.80303538	64.61332441	63.879377	59.01910969	58.95283331	58.96387938	58.9859715	..	..
IBRD only	IBD	36.26069587	36.24958564	36.28252741	36.30522874	36.34622191	36.46050093	36.51306308	36.56369319	36.70978075	..	..
Iceland	ISL	18.77306733	18.76309227	18.71321696	18.71321696	18.7032419	18.69326683	18.68528678	18.67531172	18.67531172	..	..
IDA & IBRD total	IBT	38.03870292	38.07112189	38.13448369	38.19075495	38.20036789	38.32776476	38.13086108	38.25726914	38.30922743	..	..
IDA blend	IDB	49.56889086	49.83641268	49.85053828	49.72179606	49.09796923	49.33938999	49.63460792	49.82961289	49.70227768	..	..
